sTimeStemp, sLongitude, sLatitude, sheight, sCQI, sRSRP
, 9.492957, 53.957939, , 7, -118
, 9.492992, 53.958084, , 9, -95
, 9.493028, 53.958225, , 11, -114
, 9.493062, 53.958363, , 12, -104
, 9.493095, 53.958492, , 6, -97
, 9.493127, 53.958622, , 7, -129
, 9.493156, 53.958744, , 9, -103
, 9.493185, 53.958866, , 9, -107
, 9.493211, 53.958977, , 6, -99
, 9.493235, 53.959080, , 11, -112
, 9.493253, 53.959171, , 8, -94
, 9.493266, 53.959248, , 9, -96
, 9.493277, 53.959305, , 6, -112
, 9.493290, 53.959347, , 7, -112
, 9.493302, 53.959370, , 11, -107
, 9.493311, 53.959381, , 12, -118
, 9.493321, 53.959393, , 12, -113
, 9.493346, 53.959408, , 10, -95
, 9.493395, 53.959438, , 9, -125
, 9.493449, 53.959480, , 9, -116
, 9.493480, 53.959534, , 9, -117
, 9.493473, 53.959591, , 10, -112
, 9.493426, 53.959641, , 6, -112
, 9.493346, 53.959671, , 10, -102
, 9.493252, 53.959675, , 9, -126
, 9.493159, 53.959656, , 6, -124
, 9.493063, 53.959629, , 11, -107
, 9.492951, 53.959606, , 6, -122
, 9.492822, 53.959599, , 11, -108
, 9.492676, 53.959599, , 11, -120
, 9.492516, 53.959610, , 7, -114
, 9.492348, 53.959633, , 12, -110
, 9.492181, 53.959675, , 12, -93
, 9.492023, 53.959740, , 6, -127
, 9.491881, 53.959820, , 6, -109
, 9.491755, 53.959923, , 6, -95
, 9.491656, 53.960041, , 8, -117
, 9.491588, 53.960175, , 6, -92
, 9.491548, 53.960316, , 8, -128
, 9.491534, 53.960476, , 11, -106
, 9.491547, 53.960648, , 11, -113
, 9.491577, 53.960835, , 12, -104
, 9.491616, 53.961033, , 10, -100
, 9.491659, 53.961243, , 9, -116
, 9.491699, 53.961468, , 8, -115
, 9.491736, 53.961704, , 6, -93
, 9.491768, 53.961948, , 8, -121
, 9.491794, 53.962200, , 6, -130
, 9.491817, 53.962460, , 8, -125
, 9.491842, 53.962730, , 10, -125
, 9.491869, 53.963005, , 9, -108
, 9.491896, 53.963291, , 10, -93
, 9.491921, 53.963581, , 6, -126
, 9.491942, 53.963879, , 12, -113
, 9.491961, 53.964172, , 10, -125
, 9.491976, 53.964470, , 12, -101
, 9.491989, 53.964764, , 11, -123
, 9.492002, 53.965061, , 9, -99
, 9.492012, 53.965355, , 9, -121
, 9.492020, 53.965652, , 12, -126
, 9.492025, 53.965950, , 9, -105
, 9.492027, 53.966248, , 11, -104
, 9.492028, 53.966545, , 9, -127
, 9.492027, 53.966843, , 10, -129
, 9.492025, 53.967140, , 7, -130
, 9.492023, 53.967438, , 9, -125
, 9.492022, 53.967735, , 9, -106
, 9.492022, 53.968037, , 7, -121
, 9.492023, 53.968334, , 11, -92
, 9.492024, 53.968632, , 10, -113
, 9.492026, 53.968929, , 12, -128
, 9.492026, 53.969227, , 11, -123
, 9.492027, 53.969524, , 9, -117
, 9.492029, 53.969826, , 7, -125
, 9.492029, 53.970123, , 11, -118
, 9.492028, 53.970421, , 9, -123
, 9.492025, 53.970718, , 7, -112
, 9.492022, 53.971016, , 11, -100
, 9.492021, 53.971313, , 11, -93
, 9.492021, 53.971611, , 9, -93
, 9.492020, 53.971909, , 9, -98
, 9.492018, 53.972206, , 7, -108
, 9.492016, 53.972504, , 10, -100
, 9.492013, 53.972801, , 7, -123
, 9.492011, 53.973099, , 6, -122
, 9.492010, 53.973396, , 12, -111
, 9.492010, 53.973698, , 10, -112
, 9.492008, 53.973995, , 7, -116
, 9.492005, 53.974293, , 12, -109
, 9.492002, 53.974590, , 7, -127
, 9.492000, 53.974888, , 12, -113
, 9.491998, 53.975185, , 7, -96
, 9.491996, 53.975483, , 9, -116
, 9.491994, 53.975780, , 12, -130
, 9.491991, 53.976078, , 12, -115
, 9.491988, 53.976376, , 8, -97
, 9.491985, 53.976669, , 9, -104
, 9.491982, 53.976967, , 12, -127
, 9.491980, 53.977264, , 11, -122
, 9.491976, 53.977562, , 10, -103
, 9.491973, 53.977859, , 6, -92
, 9.491971, 53.978157, , 6, -108
, 9.491967, 53.978455, , 8, -130
, 9.491963, 53.978752, , 10, -103
, 9.491958, 53.979050, , 7, -117
, 9.491945, 53.979343, , 12, -119
, 9.491927, 53.979641, , 11, -115
, 9.491904, 53.979939, , 6, -128
, 9.491875, 53.980236, , 9, -117
, 9.491842, 53.980534, , 6, -121
, 9.491806, 53.980831, , 11, -120
, 9.491768, 53.981129, , 7, -107
, 9.491728, 53.981422, , 11, -126
, 9.491685, 53.981720, , 6, -94
, 9.491639, 53.982018, , 9, -126
, 9.491590, 53.982315, , 9, -105
, 9.491545, 53.982613, , 12, -111
, 9.491496, 53.982910, , 6, -94
, 9.491443, 53.983204, , 8, -104
, 9.491384, 53.983501, , 9, -113
, 9.491321, 53.983795, , 11, -121
, 9.491251, 53.984089, , 11, -109
, 9.491177, 53.984383, , 9, -126
, 9.491097, 53.984676, , 6, -128
, 9.491017, 53.984970, , 10, -97
, 9.490933, 53.985264, , 9, -112
, 9.490846, 53.985558, , 6, -116
, 9.490754, 53.985847, , 12, -98
, 9.490659, 53.986141, , 10, -110
, 9.490560, 53.986431, , 11, -122
, 9.490457, 53.986721, , 12, -105
, 9.490352, 53.987011, , 7, -124
, 9.490249, 53.987301, , 11, -120
, 9.490142, 53.987591, , 8, -121
, 9.490031, 53.987877, , 8, -127
, 9.489916, 53.988167, , 11, -96
, 9.489797, 53.988453, , 11, -105
, 9.489677, 53.988743, , 9, -109
, 9.489557, 53.989029, , 9, -102
, 9.489435, 53.989319, , 6, -104
, 9.489310, 53.989601, , 6, -93
, 9.489184, 53.989891, , 8, -103
, 9.489058, 53.990181, , 10, -128
, 9.488928, 53.990471, , 9, -108
, 9.488798, 53.990761, , 10, -123
, 9.488665, 53.991047, , 7, -100
, 9.488529, 53.991337, , 12, -117
, 9.488392, 53.991623, , 9, -126
, 9.488251, 53.991909, , 6, -108
, 9.488109, 53.992195, , 11, -122
, 9.487964, 53.992481, , 11, -96
, 9.487816, 53.992767, , 10, -110
, 9.487666, 53.993053, , 6, -105
, 9.487514, 53.993340, , 10, -112
, 9.487361, 53.993622, , 12, -118
, 9.487206, 53.993904, , 8, -93
, 9.487049, 53.994190, , 8, -127
, 9.486891, 53.994473, , 7, -129
, 9.486732, 53.994755, , 8, -113
, 9.486569, 53.995037, , 10, -101
, 9.486405, 53.995319, , 11, -101
, 9.486239, 53.995598, , 10, -122
, 9.486072, 53.995880, , 11, -93
, 9.485906, 53.996159, , 12, -113
, 9.485738, 53.996437, , 7, -118
, 9.485569, 53.996719, , 9, -94
, 9.485398, 53.996998, , 12, -96
, 9.485226, 53.997276, , 12, -125
, 9.485053, 53.997551, , 7, -100
, 9.484877, 53.997829, , 10, -94
, 9.484697, 53.998104, , 8, -128
, 9.484515, 53.998379, , 10, -119
, 9.484328, 53.998650, , 12, -119
, 9.484138, 53.998924, , 8, -98
, 9.483947, 53.999199, , 6, -114
, 9.483751, 53.999470, , 11, -105
, 9.483553, 53.999741, , 6, -92
, 9.483353, 54.000011, , 9, -129
, 9.483150, 54.000282, , 7, -112
, 9.482944, 54.000553, , 10, -125
, 9.482736, 54.000828, , 10, -121
, 9.482524, 54.001099, , 7, -108
, 9.482311, 54.001369, , 12, -116
, 9.482097, 54.001644, , 12, -110
, 9.481880, 54.001915, , 7, -127
, 9.481663, 54.002186, , 11, -108
, 9.481445, 54.002457, , 12, -106
, 9.481226, 54.002728, , 8, -104
, 9.481006, 54.002998, , 6, -118
, 9.480784, 54.003269, , 8, -108
, 9.480563, 54.003536, , 10, -126
, 9.480340, 54.003807, , 8, -101
, 9.480115, 54.004074, , 9, -99
, 9.479888, 54.004337, , 12, -130
, 9.479659, 54.004604, , 8, -96
, 9.479429, 54.004868, , 12, -99
, 9.479199, 54.005131, , 6, -113
, 9.478966, 54.005390, , 7, -126
, 9.478730, 54.005653, , 11, -127
, 9.478493, 54.005913, , 9, -111
, 9.478252, 54.006172, , 8, -97
, 9.478011, 54.006432, , 10, -129
, 9.477767, 54.006691, , 10, -122
, 9.477522, 54.006947, , 11, -116
, 9.477274, 54.007206, , 10, -99
, 9.477024, 54.007465, , 12, -93
, 9.476772, 54.007721, , 6, -126
, 9.476520, 54.007980, , 9, -108
, 9.476265, 54.008236, , 12, -111
, 9.476008, 54.008492, , 6, -128
, 9.475749, 54.008747, , 9, -93
, 9.475489, 54.009003, , 6, -118
, 9.475228, 54.009258, , 7, -93
, 9.474965, 54.009510, , 9, -114
, 9.474699, 54.009766, , 8, -120
, 9.474431, 54.010017, , 12, -130
, 9.474161, 54.010273, , 12, -98
, 9.473890, 54.010525, , 7, -102
, 9.473619, 54.010777, , 9, -119
, 9.473346, 54.011024, , 6, -118
, 9.473069, 54.011276, , 6, -109
, 9.472789, 54.011524, , 9, -107
, 9.472508, 54.011772, , 12, -95
, 9.472228, 54.012020, , 10, -93
, 9.471948, 54.012264, , 12, -105
, 9.471665, 54.012512, , 7, -119
, 9.471382, 54.012756, , 6, -116
, 9.471096, 54.013004, , 6, -117
, 9.470808, 54.013248, , 11, -117
, 9.470519, 54.013493, , 11, -103
, 9.470227, 54.013733, , 11, -116
, 9.469934, 54.013977, , 12, -119
, 9.469638, 54.014217, , 12, -95
, 9.469339, 54.014458, , 6, -119
, 9.469037, 54.014698, , 12, -99
, 9.468733, 54.014935, , 6, -106
, 9.468429, 54.015175, , 8, -103
, 9.468122, 54.015411, , 6, -96
, 9.467813, 54.015648, , 9, -111
, 9.467505, 54.015884, , 8, -118
, 9.467196, 54.016121, , 8, -111
, 9.466885, 54.016354, , 9, -101
, 9.466572, 54.016586, , 6, -107
, 9.466254, 54.016819, , 12, -111
, 9.465935, 54.017052, , 11, -96
, 9.465611, 54.017281, , 6, -126
, 9.465283, 54.017513, , 9, -115
, 9.464953, 54.017742, , 10, -105
, 9.464624, 54.017967, , 10, -125
, 9.464293, 54.018192, , 10, -130
, 9.463961, 54.018417, , 11, -116
, 9.463629, 54.018642, , 6, -127
, 9.463298, 54.018867, , 9, -107
, 9.462965, 54.019093, , 12, -118
, 9.462633, 54.019314, , 8, -125
, 9.462300, 54.019539, , 11, -122
, 9.461967, 54.019760, , 12, -111
, 9.461633, 54.019981, , 8, -121
, 9.461295, 54.020199, , 11, -123
, 9.460957, 54.020416, , 7, -117
, 9.460617, 54.020634, , 12, -108
, 9.460277, 54.020851, , 9, -93
, 9.459935, 54.021065, , 11, -130
, 9.459594, 54.021282, , 7, -92
, 9.459249, 54.021500, , 6, -115
, 9.458903, 54.021713, , 8, -116
, 9.458554, 54.021931, , 11, -117
, 9.458202, 54.022144, , 9, -94
, 9.457850, 54.022354, , 8, -113
, 9.457495, 54.022568, , 7, -112
, 9.457138, 54.022774, , 10, -105
, 9.456779, 54.022984, , 7, -105
, 9.456414, 54.023190, , 6, -100
, 9.456048, 54.023396, , 6, -93
, 9.455679, 54.023602, , 6, -117
, 9.455309, 54.023808, , 11, -115
, 9.454941, 54.024010, , 12, -118
, 9.454574, 54.024212, , 6, -121
, 9.454209, 54.024410, , 12, -125
, 9.453844, 54.024609, , 7, -111
, 9.453480, 54.024807, , 9, -96
, 9.453116, 54.025002, , 7, -94
, 9.452753, 54.025196, , 11, -113
, 9.452390, 54.025391, , 8, -106
, 9.452022, 54.025585, , 6, -113
, 9.451652, 54.025780, , 11, -115
, 9.451281, 54.025970, , 12, -101
, 9.450907, 54.026161, , 10, -119
, 9.450532, 54.026352, , 8, -98
, 9.450155, 54.026539, , 12, -129
, 9.449778, 54.026726, , 12, -123
, 9.449400, 54.026917, , 12, -100
, 9.449022, 54.027103, , 10, -95
, 9.448645, 54.027290, , 9, -111
, 9.448268, 54.027477, , 8, -121
, 9.447892, 54.027664, , 6, -120
, 9.447515, 54.027851, , 7, -102
, 9.447139, 54.028034, , 6, -99
, 9.446765, 54.028221, , 9, -121
, 9.446392, 54.028400, , 11, -107
, 9.446023, 54.028584, , 8, -110
, 9.445661, 54.028759, , 12, -109
, 9.445307, 54.028934, , 9, -115
, 9.444964, 54.029102, , 8, -125
, 9.444639, 54.029263, , 10, -101
, 9.444339, 54.029419, , 11, -129
, 9.444056, 54.029564, , 7, -121
, 9.443785, 54.029697, , 10, -120
, 9.443525, 54.029827, , 12, -115
, 9.443277, 54.029945, , 8, -94
, 9.443045, 54.030056, , 12, -96
, 9.442822, 54.030163, , 8, -101
, 9.442606, 54.030266, , 8, -108
, 9.442396, 54.030361, , 7, -121
, 9.442195, 54.030460, , 11, -98
, 9.442004, 54.030556, , 11, -124
, 9.441825, 54.030655, , 6, -119
, 9.441666, 54.030762, , 10, -117
, 9.441539, 54.030869, , 7, -113
, 9.441455, 54.030975, , 7, -123
, 9.441415, 54.031078, , 9, -118
, 9.441419, 54.031174, , 11, -110
, 9.441460, 54.031269, , 8, -129
, 9.441534, 54.031353, , 6, -94
, 9.441636, 54.031425, , 6, -101
, 9.441755, 54.031487, , 12, -128
, 9.441891, 54.031532, , 12, -96
, 9.442038, 54.031559, , 10, -111
, 9.442190, 54.031567, , 7, -123
, 9.442345, 54.031551, , 7, -95
, 9.442496, 54.031517, , 7, -123
, 9.442645, 54.031467, , 8, -97
, 9.442789, 54.031403, , 12, -104
, 9.442927, 54.031322, , 6, -95
, 9.443066, 54.031235, , 10, -119
, 9.443205, 54.031151, , 6, -113
, 9.443343, 54.031063, , 6, -125
, 9.443480, 54.030979, , 9, -104
, 9.443611, 54.030895, , 6, -99
, 9.443721, 54.030819, , 8, -117
, 9.443810, 54.030754, , 9, -119
, 9.443885, 54.030697, , 7, -93
, 9.443940, 54.030647, , 12, -100
, 9.443969, 54.030609, , 7, -125
, 9.443984, 54.030571, , 10, -125
, 9.443974, 54.030525, , 7, -129
, 9.443932, 54.030472, , 8, -116
, 9.443857, 54.030415, , 6, -119
, 9.443762, 54.030350, , 12, -93
, 9.443653, 54.030273, , 10, -102
, 9.443528, 54.030182, , 6, -126
, 9.443389, 54.030075, , 8, -99
, 9.443237, 54.029961, , 11, -113
, 9.443074, 54.029839, , 12, -101
, 9.442897, 54.029701, , 9, -93
, 9.442704, 54.029560, , 9, -115
, 9.442495, 54.029404, , 12, -99
, 9.442274, 54.029240, , 8, -97
, 9.442040, 54.029068, , 6, -113
, 9.441798, 54.028885, , 12, -124
, 9.441546, 54.028698, , 8, -97
, 9.441293, 54.028503, , 7, -113
, 9.441039, 54.028301, , 6, -92
, 9.440780, 54.028099, , 7, -101
, 9.440516, 54.027897, , 6, -125
, 9.440247, 54.027695, , 11, -126
, 9.439972, 54.027489, , 7, -107
, 9.439696, 54.027290, , 8, -113
, 9.439422, 54.027096, , 12, -117
, 9.439142, 54.026901, , 7, -112
, 9.438850, 54.026722, , 11, -111
, 9.438543, 54.026550, , 10, -102
, 9.438219, 54.026394, , 10, -101
, 9.437879, 54.026253, , 7, -112
, 9.437522, 54.026131, , 12, -124
, 9.437157, 54.026016, , 7, -113
, 9.436787, 54.025906, , 6, -114
, 9.436416, 54.025799, , 8, -124
, 9.436049, 54.025692, , 12, -95
, 9.435692, 54.025589, , 10, -102
, 9.435336, 54.025490, , 7, -123
, 9.434978, 54.025402, , 10, -119
, 9.434615, 54.025326, , 7, -117
, 9.434248, 54.025261, , 7, -121
, 9.433878, 54.025204, , 9, -94
, 9.433504, 54.025150, , 12, -103
, 9.433128, 54.025101, , 7, -113
, 9.432755, 54.025051, , 8, -95
, 9.432386, 54.025002, , 7, -111
, 9.432026, 54.024952, , 11, -116
, 9.431676, 54.024906, , 11, -104
, 9.431335, 54.024860, , 11, -94
, 9.431000, 54.024815, , 12, -118
, 9.430670, 54.024776, , 6, -99
, 9.430346, 54.024738, , 8, -125
, 9.430028, 54.024704, , 9, -130
, 9.429714, 54.024673, , 10, -111
, 9.429398, 54.024651, , 7, -106
, 9.429082, 54.024632, , 12, -114
, 9.428771, 54.024620, , 9, -117
, 9.428467, 54.024609, , 10, -94
, 9.428173, 54.024601, , 12, -128
, 9.427886, 54.024593, , 7, -109
, 9.427611, 54.024586, , 7, -107
, 9.427349, 54.024574, , 6, -115
, 9.427098, 54.024570, , 6, -115
, 9.426859, 54.024563, , 7, -119
, 9.426634, 54.024559, , 12, -107
, 9.426423, 54.024551, , 9, -103
, 9.426225, 54.024548, , 8, -97
, 9.426042, 54.024544, , 7, -116
, 9.425868, 54.024544, , 12, -118
, 9.425693, 54.024540, , 8, -94
, 9.425505, 54.024536, , 6, -103
, 9.425301, 54.024532, , 7, -103
, 9.425079, 54.024529, , 6, -102
, 9.424841, 54.024529, , 12, -115
, 9.424590, 54.024525, , 11, -95
, 9.424329, 54.024525, , 10, -104
, 9.424060, 54.024525, , 11, -117
, 9.423786, 54.024529, , 6, -112
, 9.423505, 54.024532, , 11, -96
, 9.423217, 54.024540, , 6, -124
, 9.422922, 54.024548, , 11, -116
, 9.422625, 54.024563, , 10, -107
, 9.422326, 54.024582, , 7, -124
, 9.422026, 54.024616, , 6, -104
, 9.421723, 54.024658, , 6, -121
, 9.421420, 54.024719, , 12, -104
, 9.421121, 54.024792, , 10, -119
, 9.420826, 54.024879, , 9, -109
, 9.420534, 54.024979, , 8, -116
, 9.420249, 54.025082, , 8, -119
, 9.419974, 54.025192, , 9, -100
, 9.419703, 54.025295, , 9, -130
, 9.419436, 54.025398, , 12, -101
, 9.419176, 54.025497, , 12, -128
, 9.418921, 54.025597, , 11, -100
, 9.418673, 54.025696, , 10, -128
, 9.418428, 54.025791, , 7, -122
, 9.418189, 54.025883, , 6, -105
, 9.417954, 54.025970, , 6, -105
, 9.417724, 54.026058, , 9, -96
, 9.417498, 54.026146, , 11, -120
, 9.417276, 54.026234, , 8, -110
, 9.417055, 54.026321, , 12, -130
, 9.416834, 54.026405, , 12, -114
, 9.416613, 54.026493, , 11, -110
, 9.416394, 54.026577, , 6, -117
, 9.416181, 54.026657, , 9, -98
, 9.415973, 54.026733, , 11, -128
, 9.415769, 54.026806, , 11, -108
, 9.415568, 54.026878, , 10, -114
, 9.415370, 54.026951, , 7, -93
, 9.415174, 54.027020, , 12, -119
, 9.414974, 54.027092, , 10, -95
, 9.414770, 54.027157, , 9, -112
, 9.414557, 54.027218, , 7, -96
, 9.414344, 54.027279, , 9, -103
, 9.414129, 54.027336, , 11, -111
, 9.413911, 54.027382, , 10, -123
, 9.413690, 54.027420, , 9, -130
, 9.413463, 54.027451, , 6, -95
, 9.413232, 54.027473, , 11, -109
, 9.412994, 54.027485, , 7, -119
, 9.412752, 54.027485, , 10, -119
, 9.412503, 54.027477, , 9, -116
, 9.412241, 54.027462, , 9, -130
, 9.411969, 54.027431, , 11, -110
, 9.411691, 54.027390, , 12, -126
, 9.411407, 54.027336, , 10, -101
, 9.411124, 54.027279, , 8, -130
, 9.410840, 54.027214, , 12, -130
, 9.410555, 54.027145, , 9, -110
, 9.410271, 54.027077, , 7, -95
, 9.409986, 54.027008, , 6, -114
, 9.409700, 54.026939, , 9, -129
, 9.409418, 54.026871, , 7, -110
, 9.409134, 54.026802, , 10, -98
, 9.408848, 54.026730, , 9, -100
, 9.408560, 54.026661, , 10, -106
, 9.408273, 54.026592, , 10, -107
, 9.407987, 54.026524, , 10, -118
, 9.407699, 54.026455, , 8, -127
, 9.407407, 54.026386, , 12, -122
, 9.407113, 54.026318, , 6, -95
, 9.406818, 54.026241, , 11, -103
, 9.406522, 54.026161, , 11, -99
, 9.406224, 54.026073, , 11, -112
, 9.405930, 54.025986, , 6, -128
, 9.405639, 54.025890, , 8, -121
, 9.405346, 54.025795, , 8, -117
, 9.405052, 54.025700, , 7, -121
, 9.404756, 54.025608, , 11, -111
, 9.404458, 54.025520, , 6, -93
, 9.404154, 54.025448, , 8, -92
, 9.403843, 54.025394, , 6, -124
, 9.403528, 54.025364, , 9, -128
, 9.403208, 54.025352, , 6, -100
, 9.402883, 54.025360, , 8, -107
, 9.402561, 54.025387, , 10, -113
, 9.402240, 54.025433, , 9, -130
, 9.401918, 54.025490, , 11, -123
, 9.401602, 54.025551, , 10, -98
, 9.401292, 54.025620, , 7, -113
, 9.400985, 54.025673, , 11, -126
, 9.400675, 54.025723, , 11, -113
, 9.400359, 54.025753, , 9, -114
, 9.400042, 54.025764, , 7, -116
, 9.399725, 54.025761, , 8, -116
, 9.399414, 54.025738, , 9, -97
, 9.399111, 54.025692, , 12, -130
, 9.398817, 54.025635, , 11, -126
, 9.398536, 54.025558, , 12, -108
, 9.398269, 54.025463, , 7, -102
, 9.398016, 54.025349, , 11, -130
, 9.397774, 54.025223, , 6, -111
, 9.397541, 54.025078, , 8, -95
, 9.397312, 54.024925, , 10, -117
, 9.397086, 54.024761, , 9, -130
, 9.396858, 54.024590, , 10, -94
, 9.396631, 54.024414, , 7, -105
, 9.396406, 54.024242, , 7, -119
, 9.396181, 54.024071, , 7, -108
, 9.395956, 54.023907, , 11, -129
, 9.395732, 54.023743, , 11, -103
, 9.395505, 54.023586, , 8, -92
, 9.395272, 54.023434, , 6, -100
, 9.395037, 54.023289, , 9, -110
, 9.394794, 54.023151, , 7, -103
, 9.394540, 54.023026, , 8, -126
, 9.394277, 54.022911, , 10, -111
, 9.394004, 54.022797, , 10, -102
, 9.393721, 54.022694, , 6, -121
, 9.393428, 54.022594, , 6, -110
, 9.393130, 54.022507, , 11, -94
, 9.392831, 54.022427, , 12, -115
, 9.392529, 54.022354, , 11, -106
, 9.392229, 54.022285, , 10, -117
, 9.391929, 54.022221, , 11, -112
, 9.391633, 54.022160, , 12, -119
, 9.391352, 54.022102, , 11, -123
, 9.391084, 54.022049, , 12, -129
, 9.390833, 54.021999, , 10, -126
, 9.390604, 54.021954, , 9, -107
, 9.390392, 54.021912, , 9, -124
, 9.390190, 54.021873, , 6, -100
, 9.389994, 54.021839, , 10, -112
, 9.389797, 54.021801, , 8, -101
, 9.389601, 54.021774, , 12, -110
, 9.389406, 54.021748, , 8, -130
, 9.389217, 54.021729, , 9, -122
, 9.389036, 54.021706, , 8, -97
, 9.388866, 54.021675, , 11, -130
, 9.388712, 54.021629, , 7, -115
, 9.388567, 54.021576, , 7, -126
, 9.388416, 54.021530, , 11, -102
, 9.388252, 54.021492, , 11, -130
, 9.388077, 54.021461, , 7, -116
, 9.387895, 54.021427, , 9, -105
, 9.387709, 54.021393, , 6, -95
, 9.387518, 54.021358, , 11, -113
, 9.387322, 54.021324, , 6, -109
, 9.387120, 54.021290, , 11, -128
, 9.386913, 54.021255, , 10, -117
, 9.386703, 54.021221, , 8, -98
, 9.386488, 54.021191, , 8, -120
, 9.386268, 54.021156, , 7, -97
, 9.386044, 54.021122, , 11, -107
, 9.385819, 54.021088, , 12, -127
, 9.385596, 54.021057, , 7, -107
, 9.385373, 54.021027, , 12, -129
, 9.385149, 54.020996, , 8, -118
, 9.384922, 54.020962, , 9, -115
